English_Word,Old_Filename,New_Filename,Chinese,Match?,Reason,Reviewed
about,about.png,teletubbies_peppa_christmas.png,关于,True,"The image shows three different items: Teletubbies, Peppa Pig and Christmas themes. This is not about anything specific.",True
above,above.jpg,above_ball_above_cube.jpg,在上面,True,,True
absent,absent.gif,absent_sick_student.jpg,缺席,True,,False
absorb,sponge_absorb.gif,absorb_sponge_water.jpg,吸收,True,,False
accident,accident.jpg,accident_truck_watermelon.jpg,事故,True,,False
accordion,accordion.jpeg,accordion_red_instrument.jpg,手风琴,True,,False
accuse,paste-abb19731e205baf494aed98c60559fab3f90e938.jpg,accuse_fingers_pointing.jpg,指责,True,,False
acorn,paste-0559883a9a00c86e6736a08f8684bfd86723c391.jpg,acorn_close_up.jpg,橡子,True,,False
actor,Who-is-the-world-richest-actor-6.jpg,actor_collage_famous.jpg,演员,True,,False
adapt,paste-5ac17f6f496cda4da2810a5b994f5a8d6034c6fa.jpg,adapt_chameleon.jpg,适应,True,,False
adapt,paste-892abdb6047f3873a96a69c295687f2b663bac97.jpg,adapt_giraffe_evolution.jpg,适应,True,,False
add,adding_salt.jpg,add_salt_to_pizza.jpg,加,True,,False
add,adding_water.jpeg,add_water_to_pot.jpg,添加,True,,False
address,屏幕快照 2020-10-21 下午5.41.42.png,address_chinese_recipient.jpg,地址,True,,False
admit,paste-4b5e1089990e21039d1f86c84563432a51ea9c46.jpg,admit_broken_window_blame.jpg,承认,True,"The image depicts someone taking responsibility for breaking a window, or denying it. This relates more to 'responsibility' or 'blame' than simply 'admitting'.",True
adopt,paste-e8b2722f39ca7e60c4aa70b22b17b1631fcfeb6e.jpg,adopt_pets_family.jpg,收养,True,,False
adore,paste-2687d1044525f91cae370315cbbe21e9c71521e2.jpg,adore_grandma_hug.jpg,喜爱,True,,False
adore,paste-a1bc042c1bad9a5f2834767557f7577164105d32.jpg,adore_couple_heartbeat.jpg,爱慕,True,,False
adult,adult.png,adult_simpsons_characters.jpg,成人,True,,False
advertisement,ads.png,advertisement_elevator_posters.jpg,广告,True,,False
afford,paste-436017d9c3bc962b7e14bcead173ec3c1bafd54d.jpg,afford_comparing_houses.jpg,负担得起,True,,False
afternoon,afternoon.png,afternoon_pm_sun.jpg,下午,True,,False
ago,屏幕快照 2020-09-05 上午6.13.29.png,ago_timeline_stages.jpg,以前,True,,False
aim,aim.png,aim_gun_and_bow.jpg,瞄准,True,,False
