English Word,Collision Count,Candidates (Pipe Separated),Action Needed
clear,14,明|较|显然|晴|明白|明显|可见|清楚|朗|清|澄|了|清晰|清理,Likely Garbage/Stopword
according to,9,以|依照|依|依据|比照|根据|按|照|按照,Likely Garbage/Stopword
happy,8,喜悦|美好|忻|高兴|乐|快乐|欣|舒畅,Likely Garbage/Stopword
I,8,我|吾|俺|老汉|予|本人|朕|鄙人,Likely Garbage/Stopword
all,8,都|一切|咸|通通|所有|诸|全|皆,Likely Garbage/Stopword
still,8,静|尚|仍旧|依旧|犹|仍然|依然|仍,Likely Garbage/Stopword
change,7,变动|改变|易|转化|换|转变|变化,Likely Garbage/Stopword
hard,7,硬|坚硬|刚|辛苦|困难|固|监,Likely Garbage/Stopword
number,7,编号|多少|号码|数|码|次|数字,Likely Garbage/Stopword
and,7,而|并且|及|暨|并|与|和,Likely Garbage/Stopword
if,7,要是|的话|假若|假如|倘|若是|如果,Likely Garbage/Stopword
life,6,世|人生|命|生|生命|生活,Likely Garbage/Stopword
some,6,些|某些|某|有的|有些|一些,Likely Garbage/Stopword
people,6,人们|大众|人民|世人|平民|萌,Likely Garbage/Stopword
inside,6,内|里头|之中|之内|里面|里,Likely Garbage/Stopword
always,6,向来|总是|老是|常|从来|总,Likely Garbage/Stopword
child,6,子|孩|孩子|幼儿|小孩|儿童,Likely Garbage/Stopword
collapse,6,崩|崩溃|塌|倒塌|坍|垮,Likely Garbage/Stopword
great,6,弘|很多|重大|伟大|钧|冢,Likely Garbage/Stopword
house,6,房屋|房子|屋子|馆|屋|房,Likely Garbage/Stopword
collect,6,捡|搜集|收集|拢|攒|辑,Likely Garbage/Stopword
extremely,6,极其|极度|极为|极|万分|极了,Likely Garbage/Stopword
just,6,正好|正|允|刚好|公|甫,Likely Garbage/Stopword
plan,6,略|方案|打算|规划|计划|设计,Likely Garbage/Stopword
position,6,立场|地位|部位|位置|定位|位,Likely Garbage/Stopword
group,6,组|会|帮|团体|集团|拨,Likely Garbage/Stopword
elegant,6,郁|漂|藻|雅|斐|优雅,Likely Garbage/Stopword
near,6,靠|促|接近|濒|近|傍,Likely Garbage/Stopword
already,5,业经|曾|已|已经|既,Check Polysemy
beg,5,乞讨|乞|乞求|恳求|央,Check Polysemy
outstanding,5,优秀|卓|显着|翘|尤,Check Polysemy
whole,5,全部|整体|完|统|整整,Check Polysemy
again,5,再|复|再次|又|重新,Check Polysemy
area,5,区|地区|面积|地方|区域,Check Polysemy
can,5,可|能够|能|罐|可以,Check Polysemy
only,5,唯一|唯|惟|只有|不过,Check Polysemy
good,5,商品|善|良|良好|好,Check Polysemy
how,5,多么|哪|那|怎|如何,Check Polysemy
many,5,大多|沓|多|好多|许多,Check Polysemy
case,5,套|例子|盒子|案|盒,Check Polysemy
you,5,妳|你|侬|你们|您,Check Polysemy
complete,5,完全|完成|周|完整|毕,Check Polysemy
old,5,宿|旧|久远|老|积,Check Polysemy
age,5,年代|时代|龄|年纪|年龄,Check Polysemy
return,5,归还|退还|返回|回去|回来,Check Polysemy
nature,5,性格|自然界|大自然|性质|自然,Check Polysemy
sad,5,悲伤|哀伤|哀怨|悲|哀愁,Check Polysemy
feeling,5,情|情感|感觉|感情|情绪,Check Polysemy
attack,5,攻击|进攻|征|冲击|抨击,Check Polysemy
time,5,时候|期间|季节|久|时间,Check Polysemy
capital,5,本钱|京|本金|资本|资,Check Polysemy
imitate,5,模仿|模|摸|仿|效,Check Polysemy
rich,5,沃|富有|丰富|富|阔,Check Polysemy
then,5,然则|就|当时|继|而后,Check Polysemy
appearance,5,现象|显现|面目|容|貌,Check Polysemy
even,5,甚至于|甚或|匀|甚至|连,Check Polysemy
rule,5,程|天下|矩|规则|统治,Check Polysemy
reply,5,答应|回复|答覆|回答|回信,Check Polysemy
continue,5,续|继续|延续|接着|持续,Check Polysemy
bright,5,耿|景|辉|锦|明朗,Check Polysemy
miss,5,脱靶|思念|小姐|想念|错过,Check Polysemy
immediately,5,赶快|顿时|马上|随即|立即,Check Polysemy
excessive,5,过多|过分|淫|多余|过度,Check Polysemy
color,5,颜色|彩色|彩|颜|色,Check Polysemy
identical,4,一致|相同|相同的|同一,Check Polysemy
business,4,业|生意|业务|商业,Check Polysemy
individual,4,个人|个|个体|个别,Check Polysemy
small,4,么|小|芮|微小,Check Polysemy
tired,4,乏|辛|疲劳|倦,Check Polysemy
work,4,事务|运作|工|办公,Check Polysemy
from,4,从|自|从中|离,Check Polysemy
before,4,以前|事先|之前|前,Check Polysemy
urge,4,催促|促使|敦促|催,Check Polysemy
like,4,像|同|如同|若,Check Polysemy
public,4,公共|公用|公众|国有,Check Polysemy
village,4,农村|村|村子|村庄,Check Polysemy
miserable,4,凄惨|悲惨|惨|痛苦,Check Polysemy
system,4,制|体制|系统|体系,Check Polysemy
