English Word,Collision Count,Candidates,Action
clear,14,明|较|显然|晴|明白|明显|可见|清楚|朗|清|澄|了|清晰|清理,Pick One
change,7,变动|改变|易|转化|换|转变|变化,Pick One
hard,7,硬|坚硬|刚|辛苦|困难|固|监,Pick One
if,7,要是|的话|假若|假如|倘|若是|如果,Pick One
inside,6,内|里头|之中|之内|里面|里,Pick One
collapse,6,崩|崩溃|塌|倒塌|坍|垮,Pick One
collect,6,捡|搜集|收集|拢|攒|辑,Pick One
position,6,立场|地位|部位|位置|定位|位,Pick One
group,6,组|会|帮|团体|集团|拨,Pick One
elegant,6,郁|漂|藻|雅|斐|优雅,Pick One
beg,5,乞讨|乞|乞求|恳求|央,Pick One
whole,5,全部|整体|完|统|整整,Pick One
complete,5,完全|完成|周|完整|毕,Pick One
return,5,归还|退还|返回|回去|回来,Pick One
nature,5,性格|自然界|大自然|性质|自然,Pick One
attack,5,攻击|进攻|征|冲击|抨击,Pick One
imitate,5,模仿|模|摸|仿|效,Pick One
rich,5,沃|富有|丰富|富|阔,Pick One
reply,5,答应|回复|答覆|回答|回信,Pick One
continue,5,续|继续|延续|接着|持续,Pick One
miss,5,脱靶|思念|小姐|想念|错过,Pick One
identical,4,一致|相同|相同的|同一,Pick One
tired,4,乏|辛|疲劳|倦,Pick One
from,4,从|自|从中|离,Pick One
urge,4,催促|促使|敦促|催,Pick One
miserable,4,凄惨|悲惨|惨|痛苦,Pick One
countless,4,千万|无数的|无数|数不清,Pick One
regret,4,后悔|遗憾|抱歉|悔,Pick One
direction,4,向|趋向|方向|道,Pick One
contain,4,含有|容纳|盛|包含,Pick One
cough,4,咳嗽|嗽|咯|咳,Pick One
goods,4,商品|货物|产品|货,Pick One
earth,4,土|泥土|地|地球,Pick One
bury,4,埋葬|厝|埋|葬,Pick One
alone,4,孤独|独|单独|独自,Pick One
respect,4,尊敬|遵守|尊重|方面,Pick One
mound,4,岗|土墩|邱|丘,Pick One
peaceful,4,康|宁|和平|平静,Pick One
stingy,4,抠|靳|吝啬|小气,Pick One
choose,4,挑|选择|选取|拣,Pick One
pay,4,支付|付|付出|付款,Pick One
support,4,支持|撑|支撑|持,Pick One
female,4,母|雌|女|女性,Pick One
wave,4,浪|波|挥手|阵,Pick One
speech,4,演说|讲|言语|演讲,Pick One
bake,4,烘烤|烙|烘|烤,Pick One
father,4,父|父亲|爸爸|爸,Pick One
know,4,知道|认得|得知|体会,Pick One
member,4,社员|成员|会员|议员,Pick One
kind,4,类|种类|种|善良,Pick One
record,4,纪录|籍|记录|录音,Pick One
beard,4,胡|胡须|胡子|须,Pick One
crack,4,裂|隙|裂缝|缝,Pick One
body,4,躬|身|体|身体,Pick One
defend,4,防御|保卫|捍卫|辩护,Pick One
remove,4,除|撤|搬|脱掉,Pick One
gather,4,集会|聚|聚集|采,Pick One
shake,4,震|摇|摇动|震撼,Pick One
thousand,3,一千|千|仟,Pick One
below,3,下面|在下面|以下,Pick One
difficult,3,不易|难|艰,Pick One
correct,3,不错|然|纠,Pick One
focus,3,专注|焦点|聚焦,Pick One
silk,3,丝|帛|丝绸,Pick One
tight,3,严|紧|瘦,Pick One
solemn,3,严肃|庄严的|穆,Pick One
china,3,中华|中国|华,Pick One
ride,3,乘|骑|乘坐,Pick One
proud,3,傲|骄|骄傲,Pick One
tradition,3,傳統|传统|舞狮,Pick One
light,3,光|轻|亮,Pick One
army,3,军队|军|营,Pick One
share,3,分享|股票|股,Pick One
sentence,3,判刑|句|句子,Pick One
razor,3,剃刀|剃须刀片|剃须刀,Pick One
theater,3,剧场|戏院|剧院,Pick One
medicine,3,医学|药|药品,Pick One
reason,3,原因|理|理由,Pick One
friendly,3,友好|友好的|和气,Pick One
double,3,双重|兼|双倍,Pick One
popular,3,受欢迎|流行|热门,Pick One
roar,3,号|咆哮|吼,Pick One
above,3,在上面|以上|之上,Pick One
hall,3,堂|厅|大厅,Pick One
strong,3,壮|强壮|坚,Pick One
outside,3,外|外面|之外,Pick One
jealous,3,嫉妒|忌|妒,Pick One
peak,3,尖峰|山峰|峰,Pick One
flavor,3,尝|口味|味道,Pick One
bank,3,岸|畔|银行,Pick One
adore,3,崇拜|爱慕|喜爱,Pick One
