Type,HSK_Level,Label,Issue
Missing_Image,1,一块儿,Concept has no linked visual
Missing_Image,1,七,Concept has no linked visual
Missing_Image,1,三,Concept has no linked visual
Missing_Image,1,下车,Concept has no linked visual
Missing_Image,1,不大,Concept has no linked visual
Missing_Image,1,不客气,Concept has no linked visual
Missing_Image,1,东,Concept has no linked visual
Missing_Image,1,两,Concept has no linked visual
Missing_Image,1,中学,Concept has no linked visual
Missing_Image,1,九,Concept has no linked visual
Missing_Image,1,五,Concept has no linked visual
Missing_Image,1,元,Concept has no linked visual
Missing_Image,1,关,Concept has no linked visual
Missing_Image,1,再见,Concept has no linked visual
Missing_Image,1,几,Concept has no linked visual
Missing_Image,1,分,Concept has no linked visual
Missing_Image,1,动,Concept has no linked visual
Missing_Image,1,动作,Concept has no linked visual
Missing_Image,1,北,Concept has no linked visual
Missing_Image,1,医院,Concept has no linked visual
Missing_Image,1,十,Concept has no linked visual
Missing_Image,1,南,Concept has no linked visual
Missing_Image,1,口,Concept has no linked visual
Missing_Image,1,右,Concept has no linked visual
Missing_Image,1,右边,Concept has no linked visual
Missing_Image,1,后,Concept has no linked visual
Missing_Image,1,哥,Concept has no linked visual
Missing_Image,1,哪些,Concept has no linked visual
Missing_Image,1,唱,Concept has no linked visual
Missing_Image,1,四,Concept has no linked visual
Missing_Image,1,回答,Concept has no linked visual
Missing_Image,1,地点,Concept has no linked visual
Missing_Image,1,坐下,Concept has no linked visual
Missing_Image,1,外,Concept has no linked visual
Missing_Image,1,天,Concept has no linked visual
Missing_Image,1,奶,Concept has no linked visual
Missing_Image,1,妈,Concept has no linked visual
Missing_Image,1,妹,Concept has no linked visual
Missing_Image,1,姐,Concept has no linked visual
Missing_Image,1,子,Concept has no linked visual
Missing_Image,1,学院,Concept has no linked visual
Missing_Image,1,小姐,Concept has no linked visual
Missing_Image,1,小朋友,Concept has no linked visual
Missing_Image,1,工人,Concept has no linked visual
Missing_Image,1,左边,Concept has no linked visual
Missing_Image,1,帮忙,Concept has no linked visual
Missing_Image,1,干什么,Concept has no linked visual
Missing_Image,1,弟,Concept has no linked visual
Missing_Image,1,得到,Concept has no linked visual
Missing_Image,1,手,Concept has no linked visual
Missing_Image,1,打开,Concept has no linked visual
Missing_Image,1,打球,Concept has no linked visual
Missing_Image,1,有一些,Concept has no linked visual
Missing_Image,1,有时,Concept has no linked visual
Missing_Image,1,有的,Concept has no linked visual
Missing_Image,1,朋友,Concept has no linked visual
Missing_Image,1,本,Concept has no linked visual
Missing_Image,1,杯,Concept has no linked visual
Missing_Image,1,树,Concept has no linked visual
Missing_Image,1,楼,Concept has no linked visual
Missing_Image,1,次,Concept has no linked visual
Missing_Image,1,歌,Concept has no linked visual
Missing_Image,1,汽车,Concept has no linked visual
Missing_Image,1,渴,Concept has no linked visual
Missing_Image,1,爸,Concept has no linked visual
Missing_Image,1,班,Concept has no linked visual
Missing_Image,1,电影院,Concept has no linked visual
Missing_Image,1,男生,Concept has no linked visual
Missing_Image,1,病人,Concept has no linked visual
Missing_Image,1,白天,Concept has no linked visual
Missing_Image,1,百,Concept has no linked visual
Missing_Image,1,看病,Concept has no linked visual
Missing_Image,1,知识,Concept has no linked visual
Missing_Image,1,第,Concept has no linked visual
Missing_Image,1,网友,Concept has no linked visual
Missing_Image,1,考,Concept has no linked visual
Missing_Image,1,西,Concept has no linked visual
Missing_Image,1,记,Concept has no linked visual
Missing_Image,1,记住,Concept has no linked visual
Missing_Image,1,试,Concept has no linked visual
Missing_Image,1,读书,Concept has no linked visual
Missing_Image,1,车站,Concept has no linked visual
Missing_Image,1,这边,Concept has no linked visual
Missing_Image,1,那边,Concept has no linked visual
Missing_Image,1,那里,Concept has no linked visual
Missing_Image,1,间,Concept has no linked visual
Missing_Image,1,风,Concept has no linked visual
Missing_Image,1,饭店,Concept has no linked visual
Missing_Image,1,一半,Concept has no linked visual
Missing_Image,1,一点儿,Concept has no linked visual
Missing_Image,1,二,Concept has no linked visual
Missing_Image,1,先生,Concept has no linked visual
Missing_Image,1,八,Concept has no linked visual
Missing_Image,1,六,Concept has no linked visual
Missing_Image,1,出,Concept has no linked visual
Missing_Image,1,包子,Concept has no linked visual
Missing_Image,1,听到,Concept has no linked visual
Missing_Image,1,听见,Concept has no linked visual
Missing_Image,1,哪,Concept has no linked visual
Missing_Image,1,国,Concept has no linked visual
Missing_Image,1,块,Concept has no linked visual
Missing_Image,1,女,Concept has no linked visual
Missing_Image,1,女人,Concept has no linked visual
Missing_Image,1,女生,Concept has no linked visual
Missing_Image,1,山,Concept has no linked visual
Missing_Image,1,左,Concept has no linked visual
Missing_Image,1,常,Concept has no linked visual
Missing_Image,1,干,Concept has no linked visual
