English,Selected_URI,Selected_Text,Status
ID card,http://srs4autism.com/schema/word-zh-身份证,身份证,Pending Apply
I,http://srs4autism.com/schema/word-zh-我,我,Pending Apply
about,http://srs4autism.com/schema/word-zh-关于,关于,Pending Apply
above,http://srs4autism.com/schema/word-zh-在上面,在上面,Pending Apply
absorb,http://srs4autism.com/schema/word-zh-吸收,吸收,Pending Apply
accumulate,http://srs4autism.com/schema/word-zh-积累,积累,Pending Apply
accuse,http://srs4autism.com/schema/word-zh-指责,指责,Pending Apply
adore,http://srs4autism.com/schema/word-zh-喜爱,喜爱,Pending Apply
adult,http://srs4autism.com/schema/word-zh-大人,大人,Pending Apply
alive,http://srs4autism.com/schema/word-zh-活着的,活着的,Pending Apply
alone,http://srs4autism.com/schema/word-zh-单独,单独,Pending Apply
altogether,http://srs4autism.com/schema/word-zh-一共,一共,Pending Apply
ancestor,http://srs4autism.com/schema/word-zh-祖先,祖先,Pending Apply
ancient,http://srs4autism.com/schema/word-zh-古代,古代,Pending Apply
angle,http://srs4autism.com/schema/word-zh-角,角,Pending Apply
annoying,http://srs4autism.com/schema/word-zh-烦人,烦人,Pending Apply
appointment,http://srs4autism.com/schema/word-zh-预约,预约,Pending Apply
approach,http://srs4autism.com/schema/word-zh-接近,接近,Pending Apply
armor,http://srs4autism.com/schema/word-zh-盔甲,盔甲,Pending Apply
autograph,http://srs4autism.com/schema/word-zh-签名,签名,Pending Apply
author,http://srs4autism.com/schema/word-zh-作家,作家,Pending Apply
average,http://srs4autism.com/schema/word-zh-平均,平均,Pending Apply
bake,http://srs4autism.com/schema/word-zh-烘烤,烘烤,Pending Apply
bank,http://srs4autism.com/schema/word-zh-银行,银行,Pending Apply
banner,http://srs4autism.com/schema/word-zh-横幅,横幅,Pending Apply
banquet,http://srs4autism.com/schema/word-zh-宴会,宴会,Pending Apply
beach,http://srs4autism.com/schema/word-zh-海滩,海滩,Pending Apply
add,http://srs4autism.com/schema/word-zh-加,加,Pending Apply
anxious,http://srs4autism.com/schema/word-zh-焦虑,焦虑,Pending Apply
army,http://srs4autism.com/schema/word-zh-军队,军队,Pending Apply
arrow,http://srs4autism.com/schema/word-zh-箭,箭,Pending Apply
assist,http://srs4autism.com/schema/word-zh-帮助,帮助,Pending Apply
attack,http://srs4autism.com/schema/word-zh-进攻,进攻,Pending Apply
bad,http://srs4autism.com/schema/word-zh-坏,坏,Pending Apply
beam,http://srs4autism.com/schema/word-zh-平衡木,平衡木,Pending Apply
bean,http://srs4autism.com/schema/word-zh-蚕豆,蚕豆,Pending Apply
beard,http://srs4autism.com/schema/word-zh-胡子,胡子,Pending Apply
beautiful,http://srs4autism.com/schema/word-zh-美丽,美丽,Pending Apply
beg,http://srs4autism.com/schema/word-zh-乞讨,乞讨,Pending Apply
begin,http://srs4autism.com/schema/word-zh-开始,开始,Pending Apply
below,http://srs4autism.com/schema/word-zh-在下面,在下面,Pending Apply
best,http://srs4autism.com/schema/word-zh-最好的,最好的,Pending Apply
bizarre,http://srs4autism.com/schema/word-zh-古怪,古怪,Pending Apply
blank,http://srs4autism.com/schema/word-zh-空,空,Pending Apply
blast,http://srs4autism.com/schema/word-zh-爆炸,爆炸,Pending Apply
blind,http://srs4autism.com/schema/word-zh-盲人,盲人,Pending Apply
body,http://srs4autism.com/schema/word-zh-身体,身体,Pending Apply
border,http://srs4autism.com/schema/word-zh-边界,边界,Pending Apply
